Sample_ID,Project_ID,Group,Country,environmental_material,Region,Continent,Instrument,Sequencing_Center
ERR7015375,PRJEB47975,Hosp_sewage,Burkina Faso,Septic_tank,Ouagadougou,Africa,Illumina_NovaSeq_6000,UH
ERR7015376,PRJEB47975,Hosp_sewage,Burkina Faso,Septic_tank,Ouagadougou,Africa,Illumina_NovaSeq_6000,UH
ERR7015377,PRJEB47975,Hosp_sewage,Burkina Faso,Septic_tank,Ouagadougou,Africa,Illumina_NovaSeq_6000,UH
ERR7015378,PRJEB47975,Hosp_sewage,Burkina Faso,Septic_tank,Ouagadougou,Africa,Illumina_NovaSeq_6000,UH
ERR7015380,PRJEB47975,Hosp_sewage,Burkina Faso,Septic_tank,Ouagadougou,Africa,Illumina_NovaSeq_6000,UH
ERR7015382,PRJEB47975,Hosp_sewage,Burkina Faso,Septic_tank,Ouagadougou,Africa,Illumina_NovaSeq_6000,UH
ERR7015383,PRJEB47975,Hosp_sewage,Burkina Faso,Septic_tank,Ouagadougou,Africa,Illumina_NovaSeq_6000,UH
ERR7015384,PRJEB47975,Hosp_sewage,Burkina Faso,Septic_tank,Ouagadougou,Africa,Illumina_NovaSeq_6000,UH
ERR7015385,PRJEB47975,Hosp_sewage,Burkina Faso,Septic_tank,Ouagadougou,Africa,Illumina_NovaSeq_6000,UH
ERR7015386,PRJEB47975,Hosp_sewage,Burkina Faso,Septic_tank,Ouagadougou,Africa,Illumina_NovaSeq_6000,UH
ERR7015387,PRJEB47975,Hosp_sewage,Burkina Faso,Septic_tank,Ouagadougou,Africa,Illumina_NovaSeq_6000,UH
ERR7015388,PRJEB47975,Hosp_sewage,Burkina Faso,Septic_tank,Ouagadougou,Africa,Illumina_NovaSeq_6000,UH
ERR7015389,PRJEB47975,Hosp_sewage,Burkina Faso,Septic_tank,Ouagadougou,Africa,Illumina_NovaSeq_6000,UH
ERR7015390,PRJEB47975,Hosp_sewage,Burkina Faso,Septic_tank,Ouagadougou,Africa,Illumina_NovaSeq_6000,UH
ERR7015391,PRJEB47975,Hosp_sewage,Burkina Faso,Septic_tank,Ouagadougou,Africa,Illumina_NovaSeq_6000,UH
ERR7015392,PRJEB47975,Hosp_sewage,Burkina Faso,Septic_tank,Ouagadougou,Africa,Illumina_NovaSeq_6000,UH
ERR7015393,PRJEB47975,Hosp_sewage,Burkina Faso,Septic_tank,Ouagadougou,Africa,Illumina_NovaSeq_6000,UH
ERR7015394,PRJEB47975,Hosp_sewage,Burkina Faso,Septic_tank,Ouagadougou,Africa,Illumina_NovaSeq_6000,UH
ERR7015395,PRJEB47975,Hosp_sewage,Finland,Wastewater_plumbing,Helsinki,Europe,Illumina_NovaSeq_6000,UH
ERR7015397,PRJEB47975,Hosp_sewage,Finland,Wastewater_plumbing,Helsinki,Europe,Illumina_NovaSeq_6000,UH
ERR7015398,PRJEB47975,Hosp_sewage,Finland,Wastewater_plumbing,Helsinki,Europe,Illumina_NovaSeq_6000,UH
ERR7015399,PRJEB47975,Hosp_sewage,Finland,Wastewater_plumbing,Helsinki,Europe,Illumina_NovaSeq_6000,UH
ERR7015400,PRJEB47975,Hosp_sewage,Finland,Wastewater_plumbing,Helsinki,Europe,Illumina_NovaSeq_6000,UH
ERR7015401,PRJEB47975,Hosp_sewage,Finland,Wastewater_plumbing,Helsinki,Europe,Illumina_NovaSeq_6000,UH
ERR7015402,PRJEB47975,Hosp_sewage,Finland,Wastewater_plumbing,Helsinki,Europe,Illumina_NovaSeq_6000,UH
ERR7015403,PRJEB47975,Hosp_sewage,Finland,Wastewater_plumbing,Helsinki,Europe,Illumina_NovaSeq_6000,UH
SRR16025372,PRJNA765404,Hosp_env,USA,Mechanical_ventilator,Chicago,North America,Illumina_MiSeq,NWU
SRR16025383,PRJNA765404,Hosp_env,USA,Mechanical_ventilator,Chicago,North America,Illumina_MiSeq,NWU
SRR16025405,PRJNA765404,Hosp_env,USA,Mechanical_ventilator,Chicago,North America,Illumina_MiSeq,NWU
SRR16025416,PRJNA765404,Hosp_env,USA,Mechanical_ventilator,Chicago,North America,Illumina_MiSeq,NWU
SRR16025427,PRJNA765404,Hosp_env,USA,Mechanical_ventilator,Chicago,North America,Illumina_MiSeq,NWU
SRR16025449,PRJNA765404,Hosp_env,USA,Mechanical_ventilator,Chicago,North America,Illumina_MiSeq,NWU
SRR16025526,PRJNA765404,Hosp_env,USA,Mechanical_ventilator,Chicago,North America,Illumina_MiSeq,NWU
SRR16025527,PRJNA765404,Hosp_env,USA,Mechanical_ventilator,Chicago,North America,Illumina_MiSeq,NWU
SRR16025528,PRJNA765404,Hosp_env,USA,Mechanical_ventilator,Chicago,North America,Illumina_MiSeq,NWU
SRR1748535,PRJNA271013,Public_transp,USA,Parking_meter,New York City,North America,Illumina_MiSeq,WCMC
SRR1748536,PRJNA271013,Public_transp,USA,Parking_meter,New York City,North America,Illumina_HiSeq_2500,WCMC
SRR1748547,PRJNA271013,Public_transp,USA,Bench,New York City,North America,Illumina_MiSeq,WCMC
SRR1748548,PRJNA271013,Public_transp,USA,Bench,New York City,North America,Illumina_HiSeq_2500,WCMC
SRR1748549,PRJNA271013,Public_transp,USA,Bench,New York City,North America,Illumina_MiSeq,WCMC
SRR1748550,PRJNA271013,Public_transp,USA,Bench,New York City,North America,Illumina_HiSeq_2500,WCMC
SRR1748551,PRJNA271013,Public_transp,USA,Seat_hand_rail,New York City,North America,Illumina_MiSeq,WCMC
SRR1748552,PRJNA271013,Public_transp,USA,Seat_hand_rail,New York City,North America,Illumina_HiSeq_2500,WCMC
SRR1748553,PRJNA271013,Public_transp,USA,Stairway_rail,New York City,North America,Illumina_MiSeq,WCMC
SRR1748554,PRJNA271013,Public_transp,USA,Stairway_rail,New York City,North America,Illumina_HiSeq_2500,WCMC
SRR1748555,PRJNA271013,Public_transp,USA,Stairway_rail,New York City,North America,Illumina_MiSeq,WCMC
SRR1748556,PRJNA271013,Public_transp,USA,Stairway_rail,New York City,North America,Illumina_HiSeq_2500,WCMC
SRR1748557,PRJNA271013,Public_transp,USA,Garbage_can,New York City,North America,Illumina_MiSeq,WCMC
SRR1748558,PRJNA271013,Public_transp,USA,Garbage_can,New York City,North America,Illumina_HiSeq_2500,WCMC
SRR1748559,PRJNA271013,Public_transp,USA,Bench,New York City,North America,Illumina_MiSeq,WCMC
SRR1748560,PRJNA271013,Public_transp,USA,Bench,New York City,North America,Illumina_HiSeq_2500,WCMC
SRR1748561,PRJNA271013,Public_transp,USA,Garbage_can,New York City,North America,Illumina_MiSeq,WCMC
SRR1748562,PRJNA271013,Public_transp,USA,Garbage_can,New York City,North America,Illumina_HiSeq_2500,WCMC
